ID,CALL,CN,TYPE
053E7545,D-KJPL,PL,Jochen
06DDF16B,FLRDDF16B,1G,Henrik
06DDAE40,FLRDDAE40,LS4,LS4
06DDA2A2,FLRDDA2A2,ASK21,ASK21
06DD9429,FLRDD9429,ASTIR,ASTIR
053ED166,D-KUGK,5X,Rolf
06DD87CE,FLRDD87CE,DJK ASK21,DJK ASK21
06DDA42E,FLRDDA42E,DJK ASW24,DJK ASW24, 
06DDA8AD,FLRDDA8AD,Duo,Duo
213E7A3C,ICA3E7A3C,Mose, Mose
06DF11D9,FLRDF11D9,DJK Duo,DJK Duo
22DD9F04,FLRDD9F04,MLPS, MLPS
06DDA37E,FLRDDA37E,DJK DG300, DJK DG300
093FFE58,ICA3FFE58,FK9,FK9
053ED166,D-KUGK,5X,Rolf
06DD87CE,FLRDD87CE,DJK ASK21,DJK ASK21
06DDA2A2,FLRDDA2A2,ASK21,ASK21
06DD9429,FLRDD9429,ASTIR,ASTIR
06DDA42E,FLRDDA42E,DJK ASW24,DJK ASW24
06DDA8AD,FLRDDA8AD,Duo,Duo
213E7A3C,ICA3E7A3C,Mose, Mose
06DF11D9,FLRDF11D9,DJK Duo,DJK Duo
22DD9F04,FLRDD9F04,MLPS,
06DDA37E,FLRDDA37E,DJK DG300, DJK DG300
093FFE58,ICA3FFE58,FK9,FK9
06DDA3D4,FLRDDA3D4,,
06DDA375,FLRDDA375,,
0ADDA3E4,FLRDDA3E4,,
06D00A49,FLRD00A49,ASG32,
06DD9F53,,LS6,
06D00EA7,FLRD00EA7,,
